KT698166.1	HPV157REF.fa
MF588753.1	HPV-mw07c34dnr.fa
AF349909.1	HPV86REF.fa
JN171845.1	HPV153REF.fa
KT698168.1	HPV158REF.fa
HM999996.1	HPV144REF.fa
GU117634.1	HPV134REF.fa
X74470.1	HPV19REF.fa
U31784.1	HPV29REF.fa
GU117632.1	HPV132REF.fa
EU541442.1	HPV112REF.fa
FN677756.1	HPV151REF.fa
EU410348.1	HPV110REF.fa
FM955839.1	HPV100REF.fa
HM999999.1	HPV147REF.fa
X94165.1	HPV73REF.fa
X74477.1	HPV35REF.fa
X74471.1	HPV25REF.fa
U31787.1	HPV38REF.fa
MF588691.1	HPV-mw27c52cnr.fa
AB027021.1	HPV82REF.fa
GU225708.1	HPV128REF.fa
X74472.1	HPV26REF.fa
KX082661.1	HPV-mZJ01nr.fa
MF588748.1	HPV-mm090c66nr.fa
JF966374.1	HPV-mKN3nr.fa
X74466.1	HPV12REF.fa
MF588739.1	HPV-mTVMBSWc141nr.fa
AJ620210.1	HPV95REF.fa
KJ913662.1	HPV199REF.fa
MF588687.1	HPV-mEV03c09nr.fa
J04353.1	HPV31REF.fa
FN547152.2	HPV125REF.fa
MF588743.1	HPV-mw21c693nr.fa
HM999994.1	HPV142REF.fa
KF791917.1	HPV-mCH2nr.fa
X74478.1	HPV40REF.fa
M73236.1	HPV42REF.fa
KP692115.1	HPV201REF.fa
M62849.1	HPV39REF.fa
AF419318.1	HPV91REF.fa
X74465.1	HPV10REF.fa
MF588685.1	HPV-mm292c100nr.fa
MF588688.1	HPV-mLCOSOc196nr.fa
KT698167.1	HPV205REF.fa
MF588749.1	HPV-mw07c74bnr.fa
MF588718.1	HPV-mw11c13nr.fa
FM212639.1	HPV108REF.fa
MF588747.1	HPV-mEV06c107nr.fa
DQ080082.1	HPV106REF.fa
D90400.1	HPV58REF.fa
MF588751.1	HPV-mw34c28anr.fa
X70829.1	HPV65REF.fa
KP692116.1	HPV202REF.fa
MF588741.1	HPV-mw18c39nr.fa
MF588694.1	HPV-mw34c14anr.fa
HG421739.1	HPV179REF.fa
JF966373.1	HPV-mFS1nr.fa
X94164.1	HPV72REF.fa
MF588732.1	HPV-mTVMBSGc2450nr.fa
MF588696.1	HPV-mw02c24anr.fa
X74475.1	HPV32REF.fa
MF588686.1	HPV-mTVMBSGc2024nr.fa
U31786.1	HPV37REF.fa
JF906559.1	HPV155REF.fa
KP769769.1	HPV204REF.fa
U31779.1	HPV21REF.fa
KX781285.1	HPV-mDysk6nr.fa
U85660.1	HPV-mRTRX7nr.fa
